amount,debtorIban
20174.84,MK29 206K EFAB RFAI O83
31607.86,FR37 6908 5103 84T4 4NVX YDS2 Z06
70754.29,FR50 5861 1487 90OJ WPNM JOTU K23
37010.69,IL44 5331 3589 9040 3085 205
15019.17,MD80 W59P 3CNL KADU 6GYQ KSW3
38876.59,DK54 2151 2628 5664 05
97131.43,GR86 8708 0397 XJTP W0GR 2PLP ZL4
9781.82,LU03 506R FF4V YWVB 2IOT
50366.19,LV37 IJIF A4UP KKOC 9BVB U
66566.53,DO03 OKTG 2465 8624 9569 0759 0286
48808.5,VG49 ELET 3975 7672 1983 4767
37406.84,FR63 2052 8118 331B BMQJ KQWX J43
47197.97,IT77 W068 1160 417C NEFZ NR5L EVR
57850.82,BR96 9758 0796 5407 3313 3076 282D H
70923.27,FR74 0345 3438 329K 6KEY 2PZ7 585
75502.14,CH31 2804 2Q5Q HK36 TXR0 U
43602.99,FR58 1908 1267 54XD 4WAQ 3ZZK Y01
22587.44,ME96 3802 4954 8787 0965 20
74336.62,SE72 1810 4038 3671 3823 1235
29424.44,SK16 6713 6360 6177 5182 1869
65657.5,NO56 4430 5914 487
33295.05,PK50 DZHN 9YDU 9UXO BPHZ 0DWR
53210.52,FR57 4753 6410 99N8 DVRX NALV Z12
59901.94,CY22 9798 7238 YXMO UT5I OJHG JP4G
94333.81,ME68 6780 1660 9272 4678 38
34924.18,BR87 7291 4782 5969 0649 9268 888L H
69797.26,MT86 LTZR 6681 8TZ8 X2ZL Y6I1 7JR8 WOJ
48909.11,CY57 8921 7022 RTAW JMM4 AHFP 0FKI
39028.28,AL17 6915 5651 U458 GXEM 4RPE ODLL
60975.56,FR04 7380 9248 1211 CQVJ 6JLJ Z37
21824.92,EE45 5525 5610 2273 6905
31832.58,AE90 3090 7071 0037 7824 603
20972.8,CY85 9034 1508 H6AD KSDS EDFS NMKX
59170.53,AE75 3670 9574 9065 3457 101
41262.21,KW72 IXWI JLVX FNO3 MMIV IOFQ EEGY ZX
38051.91,CZ65 7677 4597 2288 7971 3772
55442.09,GT06 QIC0 GWSU XLJ1 NVZV LYSJ BZME
21652.26,FI97 7758 9298 6149 82
73961.28,FO80 0996 9389 7163 80
6866.53,AD27 3855 7926 SDLB T0RE F8NP
30536.1,KW57 EGLC HN8B YWEX E2F0 PLRP 7TLD PS
65271.78,CH97 6461 8B4L OKUC EIDE O
20447.54,FR12 4100 0697 21OU Z0ZK LNWP F75
68029.96,DK52 1869 2100 9899 84
46692.47,IE39 KWQP 3035 0347 7535 61
65492.73,FR64 3724 9710 27KJ Z3ZV GDYA 913
98974.19,LU15 860G TS8V UKVU QOFP
85597.72,MC59 3997 8681 99GF QBZZ C1AB M68
95579.18,TN44 9171 1304 5940 9040 2112
37026.99,LI50 8953 16IL 2VVP ZKWB Y
87336.45,IL67 3703 1159 6258 9302 998
50359.23,BA69 5910 4360 7301 5608
6517.77,LB22 8085 28D7 9TGC KE83 HTGM ZJUL
24820.91,FI07 2930 7672 1564 81
61349.61,FR18 1046 2527 44Q4 E1KZ XGY7 Z91
86548.98,NO87 3552 2088 823
52698.38,IS31 4825 6256 5264 3002 7957 64
49885.9,AZ40 GXUU U9VZ BD4J 5KVD LWNM HZL7
36401.89,SA44 03B6 2MGX KOPH TBDS 1MGG
33261.75,CZ55 7827 0038 5241 4345 0329
86271.58,PS15 BCVB OWXH 4CSJ S033 BUO9 9VGL 4
18158.1,GR13 7501 372Q JRVA W9MF 4A3X SFF
42602.55,FR27 4121 6109 66MK GEIQ SMH0 Z94
28579.04,FR86 0643 5472 32CH 9QWZ B2ZP E48
72419.62,NO80 1215 3124 138
82499.83,RO08 OCQY GKJ1 ACPY SLSW 5IZP
61787.99,TR62 5468 5SQZ T7HH HPKY B6VT XX
82439.47,FR43 3010 7594 60VJ J3IG N2OG L66
44537.31,MR85 9471 0710 5463 4572 2890 562
85984.6,MC04 2083 2042 62E5 SSKQ YYJU S96
43680.62,PT94 7464 4131 8244 9232 0248 0
20394.7,CR37 2362 8095 6779 0560 4
52355.99,IT30 T819 7690 757A 58NF HIAC XW5
29125.22,VG16 KZUP 3449 4678 3883 6601
77172.17,VG86 VKPG 1906 8070 8973 4603
36418.33,LU72 974C LPSI UUTF FVRF
7631.19,BA47 3860 6003 6857 9293
5170.42,IE41 NHKY 3863 7226 9763 71
35810.04,TN05 0976 7363 5666 5816 4539
6399.6,FR81 7504 2951 79RC 7RPW JCCE W49
51313.35,CR76 0200 0049 5092 2089 1
70451.41,CY75 0549 2839 4VIY VK6G LHFV TG0E
24160.26,SI23 4863 8743 3490 475
